Roll,Pitch,Label
51.74,8.13,slouch
51.69,8.16,slouch
51.74,8.16,slouch
51.79,8.12,slouch
51.79,8.08,slouch
51.80,8.04,slouch
51.83,8.04,slouch
51.82,8.02,slouch
51.80,8.00,slouch
51.81,7.98,slouch
51.77,8.00,slouch
51.79,8.03,slouch
51.85,8.02,slouch
51.84,8.03,slouch
51.78,8.02,slouch
51.71,8.06,slouch
51.70,8.05,slouch
51.70,8.10,slouch
51.74,8.08,slouch
51.71,8.10,slouch
51.66,8.11,slouch
51.64,8.09,slouch
51.65,8.10,slouch
51.63,8.06,slouch
51.64,8.07,slouch
51.69,8.06,slouch
51.74,8.06,slouch
51.70,8.07,slouch
51.79,8.02,slouch
51.77,7.98,slouch
51.80,8.00,slouch
51.81,8.04,slouch
51.80,7.99,slouch
51.73,7.97,slouch
51.67,7.99,slouch
51.68,8.01,slouch
51.68,8.04,slouch
51.58,8.07,slouch
51.54,8.16,slouch
51.54,8.17,slouch
51.57,8.19,slouch
51.60,8.22,slouch
51.62,8.21,slouch
51.61,8.16,slouch
51.54,8.13,slouch
51.55,8.09,slouch
51.52,8.06,slouch
51.51,8.04,slouch
51.50,8.02,slouch
51.61,7.99,slouch
51.61,7.99,slouch
51.62,8.02,slouch
51.60,8.01,slouch
51.63,8.03,slouch
51.60,8.06,slouch
51.64,8.06,slouch
51.67,8.06,slouch
51.72,8.09,slouch
51.66,8.14,slouch
51.69,8.13,slouch
51.62,8.12,slouch
51.63,8.09,slouch
51.66,8.08,slouch
51.63,8.04,slouch
51.61,8.09,slouch
51.59,8.11,slouch
51.62,8.07,slouch
51.59,8.05,slouch
51.58,8.04,slouch
51.69,8.04,slouch
51.71,8.06,slouch
51.68,8.06,slouch
51.58,8.09,slouch
51.50,8.18,slouch
51.51,8.18,slouch
51.49,8.20,slouch
51.53,8.20,slouch
51.53,8.21,slouch
51.50,8.17,slouch
51.39,8.09,slouch
51.41,8.08,slouch
51.44,8.04,slouch
51.41,8.02,slouch
51.47,8.03,slouch
51.57,8.03,slouch
51.58,8.04,slouch
51.56,8.05,slouch
51.54,8.10,slouch
51.54,8.09,slouch
51.48,8.11,slouch
51.40,8.12,slouch
51.39,8.14,slouch
51.35,8.18,slouch
51.32,8.19,slouch
51.27,8.17,slouch
