Time,Roll,Pitch,Label
2.443768262863159,83.32,-1.24,upright,0
2.4644689559936523,83.32,-1.36,upright,0
2.4867966175079346,83.34,-1.41,upright,0
2.5024983882904053,83.66,-1.18,upright,0
2.5194356441497803,82.6,-1.02,upright,0
2.5440499782562256,81.03,-0.55,upright,0
2.564746141433716,80.94,-0.1,upright,0
2.579456090927124,80.42,-0.16,upright,0
2.6063146591186523,80.2,-0.81,upright,0
2.619352340698242,80.32,-1.3,upright,0
2.645413398742676,80.12,-0.67,upright,0
2.6649906635284424,79.37,0.1,upright,0
2.685776948928833,78.65,0.4,upright,0
2.7028825283050537,78.48,-0.17,upright,0
2.725416421890259,78.52,-0.84,upright,0
2.7417938709259033,78.65,-1.22,upright,0
2.7649455070495605,77.85,-0.36,upright,0
2.786182403564453,77.76,0.36,upright,0
2.8045690059661865,78.07,0.38,upright,0
2.8263492584228516,78.0,-0.38,upright,0
2.8452024459838867,77.81,-0.52,upright,0
2.8649513721466064,77.86,-0.27,upright,0
2.8870933055877686,77.54,-0.23,upright,0
2.9053292274475098,77.25,-0.28,upright,0
2.919245719909668,77.7,-0.38,upright,0
2.946275472640991,78.07,-0.12,upright,0
2.965078353881836,77.66,-0.59,upright,0
2.986624002456665,77.45,-0.52,upright,0
3.0027072429656982,77.33,0.16,upright,0
3.025064468383789,77.07,0.01,upright,0
3.046536684036255,76.55,0.24,upright,0
3.0649542808532715,76.81,0.05,upright,0
3.0857648849487305,77.22,0.1,upright,0
3.104433059692383,76.72,0.15,upright,0
3.1216542720794678,76.48,0.03,upright,0
3.145284414291382,76.69,0.08,upright,0
3.1649885177612305,77.22,0.08,upright,0
3.1858696937561035,77.14,0.37,upright,0
3.202427625656128,77.12,0.1,upright,0
3.2206106185913086,76.83,0.04,upright,0
3.2441534996032715,76.52,0.18,upright,0
3.2652642726898193,76.4,0.2,upright,0
3.2856929302215576,76.82,0.19,upright,0
3.305487632751465,76.97,0.07,upright,0
3.3248653411865234,77.11,0.21,upright,0
3.345039129257202,77.29,0.17,upright,0
3.3651931285858154,77.87,-0.11,upright,0
3.3859593868255615,78.02,-0.24,upright,0
3.4039809703826904,77.62,-0.11,upright,0
3.422997236251831,78.04,0.08,upright,0
3.4439735412597656,78.49,-0.11,upright,0
3.4652304649353027,78.62,-0.38,upright,0
3.4870858192443848,78.47,-0.33,upright,0
3.504509687423706,78.78,-0.36,upright,0
3.521082639694214,78.68,-0.51,upright,0
3.5464284420013428,78.15,-0.51,upright,0
3.5653235912323,78.22,-0.62,upright,0
3.5783019065856934,78.3,-0.86,upright,0
3.60251522064209,77.81,-1.07,upright,0
3.6192798614501953,77.12,-1.48,upright,0
3.6438775062561035,76.31,-1.1,upright,0
3.665344476699829,75.89,-0.7,upright,0
3.6875686645507812,75.91,-0.52,upright,0
3.7041327953338623,75.81,-1.15,upright,0
3.7208690643310547,75.58,-1.64,upright,0
3.744891881942749,75.36,-1.92,upright,0
3.7653615474700928,75.56,-1.47,upright,0
3.7862343788146973,75.29,-1.48,upright,0
3.8039042949676514,74.58,-1.8,upright,0
3.820103883743286,74.4,-2.09,upright,0
3.846644163131714,74.05,-2.81,upright,0
3.8655245304107666,74.32,-3.14,upright,0
3.8877570629119873,74.7,-2.74,upright,0
3.905622720718384,74.78,-2.53,upright,0
3.920971393585205,74.12,-3.35,upright,0
3.943486452102661,74.05,-3.99,upright,0
3.9656870365142822,74.07,-4.1,upright,0
3.9867911338806152,74.13,-4.19,upright,0
4.005295038223267,73.82,-4.41,upright,0
4.021345376968384,73.4,-4.57,upright,0
4.0458762645721436,73.22,-4.98,upright,0
4.065742492675781,73.2,-5.15,upright,0
4.085947275161743,73.31,-4.8,upright,0
4.104317903518677,73.57,-4.53,upright,0
4.1226966381073,73.27,-5.27,upright,0
4.143662929534912,73.0,-5.52,upright,0
4.166139841079712,73.11,-5.24,upright,0
4.1864166259765625,73.17,-4.58,upright,0
4.202706575393677,73.11,-4.58,upright,0
4.225519180297852,72.93,-4.67,upright,0
4.245240926742554,72.73,-4.4,upright,0
4.269978046417236,72.73,-4.44,upright,0
4.285695314407349,72.6,-4.45,upright,0
4.305720329284668,72.62,-4.4,upright,0
4.319339990615845,72.83,-3.81,upright,0
4.34525203704834,73.12,-3.77,upright,0
4.366458415985107,73.05,-3.92,upright,0
4.385973215103149,72.86,-4.23,upright,0
4.4041266441345215,72.88,-4.38,upright,0
4.419297456741333,73.07,-4.13,upright,0
4.445971965789795,73.03,-4.1,upright,0
4.466594219207764,72.98,-4.42,upright,0
4.485912799835205,73.29,-3.91,upright,0
4.506157636642456,73.32,-3.54,upright,0
4.526855230331421,73.17,-3.81,upright,0
4.545681953430176,73.18,-3.73,upright,0
4.566813707351685,73.42,-3.35,upright,0
4.58620023727417,73.45,-3.15,upright,0
4.606133699417114,73.75,-3.21,upright,0
4.626657724380493,73.85,-3.3,upright,0
