Roll,Pitch,Label
66.51,15.98,slouch
66.49,16.02,slouch
66.42,16.07,slouch
66.37,16.13,slouch
66.35,16.18,slouch
66.40,16.22,slouch
66.35,16.28,slouch
66.37,16.26,slouch
66.46,16.24,slouch
66.48,16.23,slouch
66.39,16.21,slouch
66.35,16.19,slouch
66.33,16.21,slouch
66.25,16.21,slouch
66.29,16.23,slouch
66.25,16.26,slouch
66.24,16.29,slouch
66.21,16.33,slouch
66.20,16.32,slouch
66.25,16.25,slouch
66.27,16.19,slouch
66.26,16.17,slouch
66.31,16.15,slouch
66.35,16.12,slouch
66.47,16.06,slouch
66.55,15.98,slouch
66.45,16.00,slouch
66.47,16.01,slouch
66.42,15.99,slouch
66.40,16.00,slouch
66.41,16.00,slouch
66.43,16.03,slouch
66.49,15.93,slouch
66.53,15.91,slouch
66.62,15.86,slouch
66.58,15.83,slouch
66.52,15.84,slouch
66.48,15.84,slouch
66.44,15.88,slouch
66.35,16.02,slouch
66.34,16.04,slouch
66.36,16.10,slouch
66.33,16.14,slouch
66.29,16.19,slouch
66.35,16.20,slouch
66.40,16.19,slouch
66.42,16.24,slouch
66.43,16.27,slouch
66.39,16.35,slouch
66.45,16.37,slouch
66.53,16.30,slouch
66.62,16.27,slouch
66.65,16.24,slouch
66.61,16.26,slouch
66.58,16.28,slouch
66.58,16.27,slouch
66.54,16.29,slouch
66.47,16.33,slouch
66.44,16.30,slouch
66.36,16.33,slouch
66.28,16.42,slouch
66.23,16.48,slouch
66.14,16.57,slouch
66.12,16.61,slouch
66.10,16.62,slouch
66.07,16.65,slouch
66.06,16.66,slouch
66.05,16.64,slouch
66.10,16.55,slouch
66.13,16.46,slouch
66.09,16.42,slouch
66.09,16.37,slouch
66.13,16.34,slouch
66.12,16.26,slouch
66.17,16.18,slouch
66.17,16.19,slouch
66.22,16.13,slouch
66.26,16.11,slouch
66.30,16.10,slouch
66.29,16.10,slouch
66.28,16.17,slouch
66.23,16.22,slouch
66.18,16.24,slouch
66.07,16.35,slouch
66.05,16.44,slouch
66.07,16.51,slouch
66.11,16.56,slouch
66.09,16.65,slouch
66.01,16.70,slouch
65.98,16.71,slouch
65.94,16.75,slouch
65.99,16.75,slouch
66.06,16.67,slouch
66.15,16.63,slouch
66.14,16.66,slouch
66.14,16.66,slouch
66.15,16.63,slouch
66.18,16.63,slouch
66.14,16.61,slouch
66.14,16.60,slouch
66.19,16.55,slouch
66.22,16.44,slouch
66.21,16.36,slouch
66.26,16.29,slouch
66.25,16.20,slouch
66.19,16.17,slouch
66.13,16.17,slouch
66.09,16.18,slouch
66.04,16.21,slouch
66.01,16.33,slouch
65.98,16.42,slouch
65.98,16.53,slouch
65.96,16.64,slouch
65.96,16.66,slouch
65.94,16.71,slouch
66.00,16.71,slouch
66.02,16.69,slouch
66.11,16.63,slouch
66.14,16.56,slouch
66.17,16.53,slouch
66.10,16.57,slouch
66.11,16.56,slouch
66.18,16.51,slouch
66.22,16.53,slouch
66.28,16.43,slouch
66.23,16.45,slouch
66.16,16.48,slouch
66.16,16.46,slouch
66.11,16.52,slouch
66.08,16.52,slouch
65.98,16.58,slouch
65.94,16.62,slouch
65.93,16.63,slouch
65.93,16.62,slouch
66.03,16.59,slouch
65.99,16.55,slouch
66.04,16.49,slouch
65.97,16.48,slouch
65.97,16.40,slouch
65.99,16.34,slouch
66.04,16.30,slouch
66.10,16.25,slouch
66.11,16.23,slouch
66.18,16.16,slouch
66.19,16.23,slouch
66.09,16.30,slouch
66.06,16.30,slouch
66.03,16.37,slouch
66.03,16.40,slouch
66.10,16.43,slouch
66.12,16.43,slouch
66.19,16.42,slouch
66.22,16.39,slouch
66.15,16.42,slouch
66.06,16.43,slouch
66.01,16.42,slouch
66.01,16.39,slouch
66.05,16.36,slouch
66.07,16.34,slouch
66.03,16.33,slouch
66.00,16.29,slouch
66.01,16.28,slouch
66.04,16.31,slouch
66.11,16.27,slouch
