Roll,Pitch,Label
77.95,7.63,upright
77.97,7.70,upright
77.95,7.84,upright
77.99,7.92,upright
77.96,8.02,upright
77.89,8.05,upright
77.85,8.03,upright
77.78,7.97,upright
77.79,7.95,upright
77.87,7.87,upright
77.92,7.83,upright
77.90,7.81,upright
77.92,7.81,upright
77.91,7.85,upright
77.92,7.82,upright
77.86,7.87,upright
77.84,7.90,upright
77.86,7.94,upright
77.83,7.96,upright
77.82,7.98,upright
77.83,8.04,upright
77.79,8.10,upright
77.83,8.15,upright
77.85,8.16,upright
77.81,8.15,upright
77.81,8.14,upright
77.77,8.11,upright
77.80,8.04,upright
77.91,7.95,upright
77.98,7.90,upright
78.01,7.85,upright
78.19,7.81,upright
78.32,7.75,upright
78.40,7.72,upright
78.42,7.70,upright
78.43,7.68,upright
78.40,7.68,upright
78.42,7.69,upright
78.36,7.75,upright
78.29,7.80,upright
78.29,7.86,upright
78.16,7.95,upright
78.12,8.04,upright
78.11,8.02,upright
78.10,8.04,upright
78.16,8.02,upright
78.17,8.01,upright
78.17,8.01,upright
78.19,8.05,upright
78.20,8.17,upright
78.19,8.15,upright
78.24,8.07,upright
78.32,7.89,upright
78.38,7.74,upright
78.43,7.67,upright
78.50,7.59,upright
78.47,7.56,upright
78.43,7.57,upright
78.47,7.52,upright
78.55,7.47,upright
78.49,7.49,upright
78.56,7.42,upright
78.49,7.47,upright
78.45,7.51,upright
78.42,7.52,upright
78.37,7.57,upright
78.04,8.18,upright
78.25,7.77,upright
78.52,7.41,upright
78.62,7.44,upright
78.51,7.62,upright
78.40,7.86,upright
78.39,8.03,upright
78.45,8.12,upright
78.48,8.18,upright
78.42,8.24,upright
78.38,8.27,upright
78.39,8.30,upright
78.47,8.23,upright
78.47,8.24,upright
78.50,8.22,upright
78.46,8.27,upright
78.39,8.30,upright
78.27,8.30,upright
78.26,8.29,upright
78.31,8.20,upright
78.34,8.13,upright
78.40,8.13,upright
78.46,8.10,upright
78.58,8.11,upright
78.67,8.12,upright
78.69,8.21,upright
78.69,8.29,upright
78.71,8.26,upright
78.82,8.18,upright
78.88,8.12,upright
78.90,8.07,upright
78.91,8.08,upright
78.92,8.08,upright
78.85,8.17,upright
78.74,8.25,upright
78.71,8.30,upright
78.70,8.38,upright
78.64,8.45,upright
78.56,8.52,upright
78.53,8.53,upright
78.53,8.54,upright
78.61,8.53,upright
78.64,8.54,upright
78.64,8.52,upright
78.66,8.44,upright
78.67,8.37,upright
78.67,8.32,upright
